spot_id,stake_label,pot_type,spot_name,opportunities,bet_pct,check_pct,fold_pct,call_pct,raise_pct,no_response_pct,avg_size_pct,avg_facing_size_pct,raw_action_counts,benchmark_flag,leak_note,benchmark_metric,benchmark_low,benchmark_high,deviation_pp,confidence,exploit_score
FOLD_TO_FLOP_CHECK_RAISE,PL100,srp,Fold/call/3bet vs flop check-raise,33,0.0,0.0,39.4,54.5,6.1,0.0,54.3,132.0,"{""fold"": 13, ""call"": 18, ""raise_or_allin"": 2}",OK,inside benchmark band,fold_pct,30.0,55.0,0.0,LOW,0.0
FOLD_TO_FLOP_CHECK_RAISE,PL25,3bet,Fold/call/3bet vs flop check-raise,31,0.0,0.0,29.0,45.2,25.8,0.0,52.2,147.3,"{""raise_or_allin"": 8, ""call"": 14, ""fold"": 9}",LOW,bettors do not fold enough vs flop check-raise; x/r should be value/equity-heavy,fold_pct,30.0,55.0,-1.0,LOW,0.4
FOLD_TO_FLOP_CHECK_RAISE,PL25,4bet+,Fold/call/3bet vs flop check-raise,5,0.0,0.0,20.0,60.0,20.0,0.0,21.3,73.0,"{""call"": 3, ""fold"": 1, ""raise_or_allin"": 1}",low_sample,sample below min-sample,fold_pct,30.0,55.0,-10.0,IGNORE,1.0
FOLD_TO_FLOP_CHECK_RAISE,PL25,limped,Fold/call/3bet vs flop check-raise,2,0.0,0.0,50.0,50.0,0.0,0.0,20.0,145.2,"{""call"": 1, ""fold"": 1}",low_sample,sample below min-sample,fold_pct,30.0,55.0,0.0,IGNORE,0.0
FOLD_TO_FLOP_CHECK_RAISE,PL25,srp,Fold/call/3bet vs flop check-raise,59,0.0,0.0,44.1,37.3,18.6,0.0,83.1,150.2,"{""call"": 22, ""fold"": 26, ""raise_or_allin"": 11}",OK,inside benchmark band,fold_pct,30.0,55.0,0.0,LOW,0.0
FOLD_TO_FLOP_CHECK_RAISE,PL50,3bet,Fold/call/3bet vs flop check-raise,90,0.0,0.0,28.9,41.1,30.0,0.0,59.1,140.9,"{""fold"": 26, ""call"": 37, ""raise_or_allin"": 27}",LOW,bettors do not fold enough vs flop check-raise; x/r should be value/equity-heavy,fold_pct,30.0,55.0,-1.1,LOW,0.44
FOLD_TO_FLOP_CHECK_RAISE,PL50,4bet+,Fold/call/3bet vs flop check-raise,5,0.0,0.0,20.0,80.0,0.0,0.0,4.9,77.3,"{""call"": 4, ""fold"": 1}",low_sample,sample below min-sample,fold_pct,30.0,55.0,-10.0,IGNORE,1.0
FOLD_TO_FLOP_CHECK_RAISE,PL50,limped,Fold/call/3bet vs flop check-raise,4,0.0,0.0,25.0,75.0,0.0,0.0,47.1,170.6,"{""call"": 3, ""fold"": 1}",low_sample,sample below min-sample,fold_pct,30.0,55.0,-5.0,IGNORE,0.5
FOLD_TO_FLOP_CHECK_RAISE,PL50,srp,Fold/call/3bet vs flop check-raise,148,0.0,0.0,44.6,43.9,11.5,0.0,62.9,135.6,"{""call"": 65, ""fold"": 66, ""raise_or_allin"": 17}",OK,inside benchmark band,fold_pct,30.0,55.0,0.0,MEDIUM,0.0
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL100,3bet,Fold/call/raise vs river barrel after flop-call + turn-call,1,0.0,0.0,100.0,0.0,0.0,0.0,,41.6,"{""fold"": 1}",low_sample,sample below min-sample,fold_pct,40.0,65.0,35.0,IGNORE,3.5
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL100,srp,Fold/call/raise vs river barrel after flop-call + turn-call,25,0.0,0.0,48.0,44.0,8.0,0.0,55.4,79.9,"{""fold"": 12, ""call"": 11, ""raise_or_allin"": 2}",low_sample,sample below min-sample,fold_pct,40.0,65.0,0.0,IGNORE,0.0
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL25,3bet,Fold/call/raise vs river barrel after flop-call + turn-call,13,0.0,0.0,53.8,38.5,7.7,0.0,49.5,63.5,"{""call"": 5, ""raise_or_allin"": 1, ""fold"": 7}",low_sample,sample below min-sample,fold_pct,40.0,65.0,0.0,IGNORE,0.0
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL25,4bet+,Fold/call/raise vs river barrel after flop-call + turn-call,1,0.0,0.0,100.0,0.0,0.0,0.0,,30.4,"{""fold"": 1}",low_sample,sample below min-sample,fold_pct,40.0,65.0,35.0,IGNORE,3.5
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL25,srp,Fold/call/raise vs river barrel after flop-call + turn-call,42,0.0,0.0,54.8,42.9,2.4,0.0,42.0,74.2,"{""call"": 18, ""fold"": 23, ""raise_or_allin"": 1}",OK,inside benchmark band,fold_pct,40.0,65.0,0.0,LOW,0.0
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL50,3bet,Fold/call/raise vs river barrel after flop-call + turn-call,21,0.0,0.0,47.6,52.4,0.0,0.0,27.1,55.9,"{""fold"": 10, ""call"": 11}",low_sample,sample below min-sample,fold_pct,40.0,65.0,0.0,IGNORE,0.0
FOLD_TO_RIVER_BARREL_AFTER_FLOP_TURN_CALL,PL50,srp,Fold/call/raise vs river barrel after flop-call + turn-call,92,0.0,0.0,46.7,46.7,6.5,0.0,45.1,73.8,"{""fold"": 43, ""call"": 43, ""raise_or_allin"": 6}",OK,inside benchmark band,fold_pct,40.0,65.0,0.0,LOW,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL100,3bet,Fold/call/raise vs turn barrel after calling flop c-bet,29,0.0,0.0,44.8,24.1,31.0,0.0,79.0,79.4,"{""call"": 7, ""raise_or_allin"": 9, ""fold"": 13}",low_sample,sample below min-sample,fold_pct,35.0,55.0,0.0,IGNORE,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL100,4bet+,Fold/call/raise vs turn barrel after calling flop c-bet,1,0.0,0.0,100.0,0.0,0.0,0.0,,12.7,"{""fold"": 1}",low_sample,sample below min-sample,fold_pct,35.0,55.0,45.0,IGNORE,4.5
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL100,srp,Fold/call/raise vs turn barrel after calling flop c-bet,102,0.0,0.0,43.1,47.1,9.8,0.0,58.2,76.1,"{""call"": 48, ""fold"": 44, ""raise_or_allin"": 10}",OK,inside benchmark band,fold_pct,35.0,55.0,0.0,MEDIUM,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL25,3bet,Fold/call/raise vs turn barrel after calling flop c-bet,59,0.0,0.0,37.3,42.4,20.3,0.0,52.2,63.5,"{""call"": 25, ""fold"": 22, ""raise_or_allin"": 12}",OK,inside benchmark band,fold_pct,35.0,55.0,0.0,LOW,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL25,4bet+,Fold/call/raise vs turn barrel after calling flop c-bet,2,0.0,0.0,50.0,50.0,0.0,0.0,11.3,15.5,"{""fold"": 1, ""call"": 1}",low_sample,sample below min-sample,fold_pct,35.0,55.0,0.0,IGNORE,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL25,srp,Fold/call/raise vs turn barrel after calling flop c-bet,233,0.0,0.0,45.1,44.6,10.3,0.0,59.8,72.3,"{""raise_or_allin"": 24, ""fold"": 105, ""call"": 104}",OK,inside benchmark band,fold_pct,35.0,55.0,0.0,MEDIUM,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL50,3bet,Fold/call/raise vs turn barrel after calling flop c-bet,164,0.0,0.0,50.0,34.1,15.9,0.0,54.7,71.5,"{""raise_or_allin"": 26, ""fold"": 82, ""call"": 56}",OK,inside benchmark band,fold_pct,35.0,55.0,0.0,MEDIUM,0.0
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL50,4bet+,Fold/call/raise vs turn barrel after calling flop c-bet,13,0.0,0.0,61.5,38.5,0.0,0.0,28.8,59.0,"{""fold"": 8, ""call"": 5}",low_sample,sample below min-sample,fold_pct,35.0,55.0,6.5,IGNORE,0.65
FOLD_TO_TURN_BARREL_AFTER_FLOP_CALL,PL50,srp,Fold/call/raise vs turn barrel after calling flop c-bet,443,0.0,0.0,41.3,49.0,9.7,0.0,56.5,73.1,"{""call"": 217, ""fold"": 183, ""raise_or_allin"": 43}",OK,inside benchmark band,fold_pct,35.0,55.0,0.0,HIGH,0.0
